ticker,name,market,region,currency,sector
AAF.L,Airtel Africa,FTSE 100,UK,GBP,
AAL.L,Anglo American plc,FTSE 100,UK,GBP,
ABF.L,Associated British Foods,FTSE 100,UK,GBP,
ADM.L,Admiral Group,FTSE 100,UK,GBP,
ALW.L,Alliance Witan,FTSE 100,UK,GBP,
ANTO.L,Antofagasta plc,FTSE 100,UK,GBP,
AUTO.L,Autotrader Group,FTSE 100,UK,GBP,
AV.L,Aviva,FTSE 100,UK,GBP,
AZN.L,AstraZeneca,FTSE 100,UK,GBP,
BA.L,BAE Systems,FTSE 100,UK,GBP,
BAB.L,Babcock International,FTSE 100,UK,GBP,
BARC.L,Barclays,FTSE 100,UK,GBP,
BATS.L,British American Tobacco,FTSE 100,UK,GBP,
BBOX.L,Tritax Big Box REIT,FTSE 100,UK,GBP,
BEZ.L,Beazley,FTSE 100,UK,GBP,
BGEO.L,Lion Finance Group,FTSE 100,UK,GBP,
BKG.L,Berkeley Group Holdings,FTSE 100,UK,GBP,
BLND.L,British Land,FTSE 100,UK,GBP,
BNZL.L,Bunzl,FTSE 100,UK,GBP,
BP.L,BP,FTSE 100,UK,GBP,
BRBY.L,Burberry Group,FTSE 100,UK,GBP,
BT-A.L,BT Group,FTSE 100,UK,GBP,
BTRW.L,Barratt Redrow,FTSE 100,UK,GBP,
CCEP.L,Coca-Cola Europacific Partners,FTSE 100,UK,GBP,
CCH.L,Coca-Cola HBC,FTSE 100,UK,GBP,
CNA.L,Centrica,FTSE 100,UK,GBP,
CPG.L,Compass Group,FTSE 100,UK,GBP,
CRDA.L,Croda International,FTSE 100,UK,GBP,
CTEC.L,Convatec,FTSE 100,UK,GBP,
DCC.L,DCC plc,FTSE 100,UK,GBP,
DGE.L,Diageo,FTSE 100,UK,GBP,
DPLM.L,Diploma,FTSE 100,UK,GBP,
EDV.L,Endeavour Mining,FTSE 100,UK,GBP,
ENT.L,Entain,FTSE 100,UK,GBP,
EXPN.L,Experian,FTSE 100,UK,GBP,
FCIT.L,F & C Investment Trust,FTSE 100,UK,GBP,
FRES.L,Fresnillo plc,FTSE 100,UK,GBP,
GAW.L,Games Workshop,FTSE 100,UK,GBP,
GLEN.L,Glencore,FTSE 100,UK,GBP,
GSK.L,GSK plc,FTSE 100,UK,GBP,
HLMA.L,Halma plc,FTSE 100,UK,GBP,
HLN.L,Haleon,FTSE 100,UK,GBP,
HSBA.L,HSBC,FTSE 100,UK,GBP,
HSX.L,Hiscox,FTSE 100,UK,GBP,
HWDN.L,Howdens Joinery,FTSE 100,UK,GBP,
IAG.L,International Airlines Group,FTSE 100,UK,GBP,
ICG.L,ICG,FTSE 100,UK,GBP,
IGG.L,IG Group,FTSE 100,UK,GBP,
IHG.L,IHG Hotels & Resorts,FTSE 100,UK,GBP,
III.L,3i,FTSE 100,UK,GBP,
IMB.L,Imperial Brands,FTSE 100,UK,GBP,
IMI.L,IMI,FTSE 100,UK,GBP,
INF.L,Informa,FTSE 100,UK,GBP,
ITRK.L,Intertek,FTSE 100,UK,GBP,
JD.L,JD Sports,FTSE 100,UK,GBP,
KGF.L,Kingfisher plc,FTSE 100,UK,GBP,
LAND.L,Land Securities,FTSE 100,UK,GBP,
LGEN.L,Legal & General,FTSE 100,UK,GBP,
LLOY.L,Lloyds Banking Group,FTSE 100,UK,GBP,
LMP.L,LondonMetric Property,FTSE 100,UK,GBP,
LSEG.L,London Stock Exchange Group,FTSE 100,UK,GBP,
MKS.L,Marks & Spencer,FTSE 100,UK,GBP,
MNDI.L,Mondi,FTSE 100,UK,GBP,
MNG.L,M&G,FTSE 100,UK,GBP,
MRO.L,Melrose Industries,FTSE 100,UK,GBP,
MTLN.L,Metlen Energy & Metals,FTSE 100,UK,GBP,
NG.L,National Grid plc,FTSE 100,UK,GBP,
NWG.L,NatWest Group,FTSE 100,UK,GBP,
NXT.L,Next plc,FTSE 100,UK,GBP,
PCT.L,Polar Capital Technology Trust,FTSE 100,UK,GBP,
PRU.L,Prudential plc,FTSE 100,UK,GBP,
PSH.L,Pershing Square Holdings,FTSE 100,UK,GBP,
PSN.L,Persimmon,FTSE 100,UK,GBP,
PSON.L,Pearson plc,FTSE 100,UK,GBP,
REL.L,RELX,FTSE 100,UK,GBP,
RIO.L,Rio Tinto,FTSE 100,UK,GBP,
RKT.L,Reckitt,FTSE 100,UK,GBP,
RMV.L,Rightmove,FTSE 100,UK,GBP,
RR.L,Rolls-Royce Holdings,FTSE 100,UK,GBP,
RTO.L,Rentokil Initial,FTSE 100,UK,GBP,
SBRY.L,Sainsbury's,FTSE 100,UK,GBP,
SDLF.L,Standard Life,FTSE 100,UK,GBP,
SDR.L,Schroders,FTSE 100,UK,GBP,
SGE.L,Sage Group,FTSE 100,UK,GBP,
SGRO.L,Segro,FTSE 100,UK,GBP,
SHEL.L,Shell plc,FTSE 100,UK,GBP,
SMIN.L,Smiths Group,FTSE 100,UK,GBP,
SMT.L,Scottish Mortgage Investment Trust,FTSE 100,UK,GBP,
SN.L,Smith & Nephew,FTSE 100,UK,GBP,
SPX.L,Spirax Group,FTSE 100,UK,GBP,
SSE.L,SSE plc,FTSE 100,UK,GBP,
STAN.L,Standard Chartered,FTSE 100,UK,GBP,
STJ.L,St. James's Place,FTSE 100,UK,GBP,
SVT.L,Severn Trent,FTSE 100,UK,GBP,
TSCO.L,Tesco,FTSE 100,UK,GBP,
ULVR.L,Unilever,FTSE 100,UK,GBP,
UU.L,United Utilities,FTSE 100,UK,GBP,
VOD.L,Vodafone Group,FTSE 100,UK,GBP,
WEIR.L,Weir Group,FTSE 100,UK,GBP,
WTB.L,Whitbread,FTSE 100,UK,GBP,
